H1.1,H1.2,H2.1,H4.1,H6.1
MIR6730,0,0,0,0,0
AADACL4,0,0,0,0,0
AADACL3,0,0,0,0,1
C1orf158,0,0,2,0,0
PRAMEF12,0,0,0,0,0
PRAMEF1,0,0,0,0,0
LINC01784,0,0,0,0,0
PRAMEF11,0,0,0,0,0
HNRNPCL1,0,0,1,0,0
PRAMEF2,0,0,0,0,0
PRAMEF4,0,0,0,0,0
PRAMEF10,0,0,0,0,0
PRAMEF7,0,0,0,0,0
PRAMEF6,0,0,0,0,0
PRAMEF27,0,0,0,0,0
HNRNPCL3,0,0,0,0,0
HNRNPCL4,0,0,0,0,0
PRAMEF25,0,0,0,0,0
PRAMEF26,0,0,0,0,0
PRAMEF34P,0,0,0,0,0
PRAMEF36P,0,0,0,0,0
HNRNPCL2,0,0,0,0,0
PRAMEF9,0,0,0,0,0
PRAMEF13,0,0,0,0,0
PRAMEF18,0,0,0,0,0
PRAMEF22,0,0,0,0,0
PRAMEF5,0,0,0,0,0
PRAMEF8,0,0,0,0,0
PRAMEF33,0,0,0,0,0
PRAMEF15,0,0,0,0,0
PRAMEF14,0,0,0,0,0
PRAMEF19,0,0,0,0,0
PRAMEF17,0,0,0,0,0
PRAMEF20,0,0,0,0,0
LRRC38,0,0,0,1,1
PDPN,10,1,433,67,166
PRDM2,9,3,174,34,26
KAZN-AS1,0,0,0,0,0
KAZN,7,2,149,6,71
TMEM51-AS1,0,0,2,0,2
TMEM51,3,2,82,3,59
C1orf195,0,0,0,0,0
FHAD1,0,0,7,0,0
FHAD1-AS1,0,0,0,0,0
EFHD2,1,2,83,6,83
CTRC,0,0,0,0,0
CELA2A,0,0,0,0,0
CELA2B,0,0,0,0,0
CASP9,3,0,39,5,19
DNAJC16,9,1,51,11,20
SCARNA21B,0,0,0,0,0
AGMAT,3,0,19,0,2
DDI2,8,1,53,14,23
RSC1A1,0,0,0,0,0
PLEKHM2,4,1,157,13,35
SLC25A34,0,0,2,0,1
SLC25A34-AS1,0,0,0,0,0
TMEM82,0,0,0,0,1
FBLIM1,17,3,132,48,87
UQCRHL,2,0,30,9,11
FLJ37453,3,1,105,8,26
SPEN,19,2,198,51,69
ZBTB17,1,0,81,5,30
SRARP,0,0,0,0,1
HSPB7,0,0,1,0,0
CLCNKA,0,0,1,0,0
CLCNKB,0,0,3,0,2
FAM131C,0,2,21,1,2
EPHA2,6,1,92,37,126
ARHGEF19,2,0,29,3,19
CPLANE2,0,1,6,3,3
FBXO42,3,3,52,8,13
SZRD1,19,2,343,42,124
SPATA21,0,0,0,0,1
NECAP2,11,1,173,29,69
LINC01772,0,0,2,0,1
CROCCP3,2,1,8,2,1
RNU1-1,0,0,0,0,0
RNU1-2,0,0,0,0,0
RNU1-3,0,0,0,0,0
RNU1-4,0,0,0,0,0
RNVU1-18,0,0,0,0,0
LINC01783,0,1,0,0,0
MIR3675,0,0,0,0,0
NBPF1,3,0,64,25,10
CROCCP2,9,6,53,13,14
MST1P2,0,0,1,0,2
ESPNP,0,0,0,0,0
MST1L,0,0,0,0,0
LOC112267871,1,0,0,0,0
LOC105376805,9,5,61,6,23
CROCC,3,0,37,6,15
MFAP2,15,4,418,51,173
ATP13A2,8,0,104,18,42
SDHB,16,4,304,49,120
PADI2,0,0,0,0,0
LINC02783,0,0,0,0,0
PADI1,0,0,0,0,1
PADI3,0,1,0,1,0
MIR3972,0,0,0,0,0
PADI4,0,0,0,0,2
PADI6,0,0,0,0,0
RCC2,23,4,299,77,185
ARHGEF10L,4,1,66,6,27
ACTL8,0,0,2,0,1
LINC01654,0,0,0,0,0
IGSF21,3,1,4,2,4
KLHDC7A,2,0,10,0,2
PAX7,0,0,53,5,0
TAS1R2,0,0,0,0,0
ALDH4A1,9,1,56,9,19
MIR4695,0,0,0,0,0
MIR1290,0,0,0,0,0
IFFO2,4,0,27,16,3
UBR4,19,2,113,40,41
EMC1-AS1,0,0,16,1,1
EMC1,5,1,67,12,48
MRTO4,52,4,833,132,272
AKR7L,1,0,5,0,4
AKR7A3,0,0,0,1,1
LOC100506730,0,0,3,1,2
AKR7A2,38,12,949,101,146
SLC66A1,7,4,91,16,46
CAPZB,128,22,1463,170,558
LOC105378614,0,0,0,0,0
MICOS10,132,33,1664,281,769
MICOS10-NBL1,0,0,0,0,0
RPS14P3,8,0,45,11,54
NBL1,0,0,0,0,1
HTR6,0,0,0,0,0
TMCO4,0,0,0,1,2
RNF186,0,0,0,0,0
OTUD3,2,0,68,7,15
PLA2G2E,0,0,0,0,0
PLA2G2A,0,0,0,0,1
PLA2G5,0,0,0,0,0
PLA2G2D,0,0,0,0,0
PLA2G2F,0,0,0,0,0
PLA2G2C,0,0,0,0,0
UBXN10-AS1,0,0,3,1,2
UBXN10,0,0,5,1,1
LINC01757,0,0,0,0,0
VWA5B1,0,0,0,0,0
LINC01141,0,0,0,0,0
CAMK2N1,1,4,302,58,19
MUL1,2,2,96,10,25
FAM43B,0,1,11,0,3
CDA,0,1,2,1,141
PINK1,3,1,88,9,57
MIR6084,0,0,0,0,0
PINK1-AS,0,0,2,1,3
DDOST,77,18,1044,116,410
KIF17,0,0,0,1,1
SH2D5,2,0,15,5,3
HP1BP3,23,7,526,51,89
EIF4G3,11,5,180,17,47
MIR1256,0,0,0,0,0
ECE1,5,1,80,12,46
ECE1-AS1,0,0,0,0,0
NBPF3,0,0,9,1,3
ALPL,17,3,237,21,138
RAP1GAP,2,0,5,0,10
USP48,14,7,240,29,75
LDLRAD2,0,0,1,0,0
HSPG2,9,1,55,6,46
CELA3B,0,0,0,0,0
CELA3A,0,0,0,0,0
LINC01635,0,0,0,0,1
LINC00339,0,2,31,1,25
CDC42,78,15,2074,309,988
WNT4,4,0,218,5,15
MIR4418,0,0,0,0,0
ZBTB40,1,0,57,6,17
EPHA8,0,0,1,0,4
MIR6127,0,0,0,0,0
C1QA,0,0,0,0,0
C1QC,0,0,0,0,0
C1QB,0,0,0,0,0
EPHB2,5,3,59,15,14
MIR4684,0,0,0,0,0
MIR4253,0,0,0,0,0
LACTBL1,0,0,0,0,0
TEX46,0,0,0,0,0
KDM1A,44,12,628,73,154
MIR3115,0,0,0,0,0
LUZP1,32,2,521,105,128
HTR1D,0,0,0,0,1
LINC01355,0,0,3,1,1
HNRNPR,120,28,2577,374,563
ZNF436,1,0,9,3,4
ZNF436-AS1,1,0,13,1,11
TCEA3,0,1,2,1,6
ASAP3,2,0,56,3,22
E2F2,3,0,24,1,0
LOC101928163,0,0,0,0,0
ID3,561,107,10768,173,1019
MDS2,0,0,0,0,0
RPL11,1427,409,17588,3022,10466
ELOA,14,0,202,33,49
ELOA-AS1,0,1,26,4,7
PITHD1,27,8,426,83,204
LYPLA2,26,4,490,51,190
GALE,8,5,210,24,109
HMGCL,3,0,76,9,44
FUCA1,3,0,21,5,28
CNR2,0,0,0,0,0
MIR378F,0,0,0,0,0
PNRC2,31,12,368,66,163
SRSF10,97,19,1292,157,369
MYOM3,0,0,0,0,0
IL22RA1,0,0,1,0,0
IFNLR1,0,0,3,0,5
LINC02800,0,0,0,0,0
GRHL3,0,0,1,0,2
STPG1,0,2,18,3,11
NIPAL3,1,0,9,1,7
RCAN3AS,0,0,0,0,1
RCAN3,3,1,19,0,38
NCMAP-DT,0,0,0,0,0
NCMAP,0,0,0,0,0
SRRM1,89,19,1019,186,394
CLIC4,25,3,329,96,210
RUNX3,0,0,0,0,1
MIR6731,0,0,0,0,0
MIR4425,0,0,0,0,0
SYF2,24,4,428,85,190
RSRP1,7,1,154,46,57
RHD,0,0,0,0,0
TMEM50A,45,15,1004,167,402
RHCE,0,0,1,0,0
MACO1,15,1,178,22,57
LDLRAP1,0,1,43,1,27
MAN1C1,0,0,16,0,25
SELENON,2,4,106,15,40
MTFR1L,3,3,220,26,68
LOC646471,0,0,0,1,0
AUNIP,6,1,96,10,29
PAQR7,0,0,12,3,6
STMN1,372,130,10430,910,1899
MIR3917,0,0,0,0,0
PAFAH2,0,1,17,1,2
EXTL1,0,0,0,0,0
SLC30A2,0,0,0,0,0
TRIM63,0,0,0,0,1
PDIK1L,0,0,26,0,3
FAM110D,1,0,33,4,20
C1orf232,0,0,1,0,0
ZNF593,32,4,398,105,278
CNKSR1,3,0,3,2,6
CATSPER4,0,0,0,0,0
ZPLD2P,0,0,1,0,5
CEP85,4,0,48,7,11
SH3BGRL3,115,43,2533,433,1089
UBXN11,0,1,89,6,7
CD52,0,0,0,0,2
CRYBG2,2,0,44,9,15
ZNF683,0,0,0,0,0
LIN28A,49,16,341,69,233
DHDDS,2,4,65,8,33
DHDDS-AS1,0,0,0,0,0
HMGN2,316,72,9546,761,1485
RPS6KA1,3,0,65,8,43
MIR1976,0,0,0,0,0
LOC101928728,0,0,0,1,0
ARID1A,39,12,381,66,175
PIGV,1,0,35,1,13
ZDHHC18,3,1,89,15,31
SFN,1,0,4,8,36
GPN2,8,0,80,17,57
GPATCH3,3,0,52,9,16
NR0B2,0,0,0,0,0
NUDC,111,15,1562,274,546
KDF1,0,0,1,0,14
TRNP1,2,0,94,7,34
TENT5B,5,0,50,6,28
SLC9A1,3,0,33,4,16
WDTC1,0,0,42,2,19
TMEM222,14,3,230,39,63
ACTG1P20,0,0,20,2,8
SYTL1,0,4,11,6,15
MAP3K6,0,1,10,0,3
FCN3,0,0,0,0,1
CD164L2,0,0,0,0,1
GPR3,0,0,5,1,4
WASF2,30,13,688,132,185
AHDC1,7,3,107,15,47
FGR,0,0,0,0,0
LINC02574,0,0,0,0,0
IFI6,0,0,64,8,10
FAM76A,2,1,80,13,23
STX12,2,1,92,15,26
PPP1R8,12,2,161,29,52
SCARNA1,0,0,0,0,0
THEMIS2,0,1,4,0,6
RPA2,37,5,536,86,116
SMPDL3B,5,0,3,4,17
XKR8,4,1,114,16,51
EYA3,4,1,113,9,16
PTAFR,0,0,1,0,2
DNAJC8,95,16,1150,175,403
ATP5IF1,127,23,1199,188,576
SESN2,7,0,177,50,34
MED18,2,0,24,4,6
PHACTR4,15,7,216,40,49
RCC1,14,1,274,18,65
SNHG3,21,2,215,41,76
SNORA73A,0,0,0,0,0
SNORA73B,0,0,0,0,0
TRNAU1AP,19,4,413,45,99
SNHG12,6,1,134,25,62
SNORD99,0,0,0,0,0
SNORA61,0,0,0,0,0
SNORA44,0,0,0,0,0
SNORA16A,0,0,0,0,0
RAB42,0,0,12,0,7
TAF12,16,6,372,69,152
LINC01715,0,0,1,0,1
RNU11,0,0,0,0,0
GMEB1,12,3,138,15,45
YTHDF2,73,7,1147,199,312
OPRD1,0,0,5,0,0
EPB41,12,10,404,41,40
TMEM200B,0,0,0,1,19
SRSF4,47,11,768,93,223
MECR,9,4,152,22,73
PTPRU,1,0,32,6,26
LINC01756,0,0,0,0,0
LINC01648,0,0,0,0,0
MATN1,0,0,0,0,0
MATN1-AS1,0,0,0,0,1
LAPTM5,0,0,0,0,3
MIR4420,0,0,0,0,0
LINC01778,0,0,0,2,0
SDC3,1,3,106,6,23
PUM1,30,14,378,63,152
SNORD103A,0,0,0,0,0
SNORD103B,0,0,0,0,0
SNORD103C,0,0,0,0,0
NKAIN1,6,2,252,21,16
SNRNP40,41,9,1011,120,337
ZCCHC17,38,6,458,76,186
FABP3,16,2,213,3,21
SERINC2,15,6,240,19,39
LDC1P,0,0,0,0,0
LINC01226,0,0,0,0,0
TINAGL1,0,0,0,0,10
HCRTR1,0,0,0,0,0
PEF1,16,1,363,59,123
COL16A1,0,0,0,0,5
ADGRB2,2,0,35,3,0
MIR4254,0,0,0,0,0
SPOCD1,1,0,0,3,0
PTP4A2,79,16,1279,246,572
KHDRBS1,123,31,1916,284,568
TMEM39B,13,1,159,13,22
MIR5585,0,0,0,0,0
KPNA6,13,4,168,24,100
TXLNA,6,3,147,33,45
CCDC28B,10,2,239,14,42
IQCC,0,0,42,1,2
DCDC2B,0,0,0,0,0
TMEM234,4,0,79,11,24
EIF3I,85,19,1603,239,551
MTMR9LP,3,2,33,4,8
FAM167B,0,0,1,0,1
LCK,2,1,4,0,6
HDAC1,15,5,242,31,188
MARCKSL1,423,119,14040,1185,2303
FAM229A,1,0,9,2,5
TSSK3,0,0,0,0,0
BSDC1,4,2,121,23,36
ZBTB8B,1,0,15,3,3
ZBTB8A,10,3,120,26,55
ZBTB8OS,27,14,409,75,225
RBBP4,23,14,489,51,181
SYNC,2,1,67,8,14
KIAA1522,2,0,36,3,44
YARS1,21,1,506,71,190
S100PBP,6,4,82,6,31
FNDC5,1,0,16,1,11
HPCA,0,0,5,1,1
TMEM54,0,0,14,4,37
RNF19B,4,0,20,10,22
AK2,9,3,315,37,104
AZIN2,1,0,15,2,4
TRIM62,0,0,14,2,4
ZNF362,3,0,109,4,18
A3GALT2,0,0,0,0,0
PHC2,15,3,785,94,52
MIR3605,0,0,0,0,0
PHC2-AS1,0,0,0,0,0
ZSCAN20,0,0,3,1,0
CSMD2,0,0,2,0,0
HMGB4,0,0,0,0,0
CSMD2-AS1,0,0,0,0,0
C1orf94,2,0,3,1,4
MIR552,0,0,0,0,0
GJB5,0,0,0,0,0
GJB4,0,0,0,0,2
GJB3,0,0,2,0,2
GJA4,0,0,0,0,68
SMIM12,31,6,397,74,147
DLGAP3,0,0,6,1,8
LOC653160,0,1,1,1,0
TMEM35B,15,3,215,23,75
ZMYM6,1,0,28,4,5
ZMYM1,4,4,112,16,22
SFPQ,134,13,3015,445,691
ZMYM4,21,3,316,20,66
ZMYM4-AS1,0,0,0,0,0
KIAA0319L,6,2,138,11,30
NCDN,3,1,61,12,33
TFAP2E,0,0,2,0,0
PSMB2,155,35,2266,325,937
C1orf216,1,0,32,7,8
CLSPN,39,10,626,89,85
AGO4,0,1,32,5,12
AGO1,10,0,121,23,37
AGO3,2,0,94,13,20
TEKT2,0,0,24,0,0
ADPRHL2,18,2,309,55,86
COL8A2,0,0,0,0,0
TRAPPC3,21,8,464,40,198
MAP7D1,11,2,352,59,89
THRAP3,64,16,1543,174,410
SH3D21,1,0,4,0,2
EVA1B,18,2,352,51,205
STK40,4,0,89,10,29
LSM10,58,9,574,58,169
OSCP1,4,1,61,4,9
SNORA63C,0,0,0,0,0
MRPS15,116,16,1332,172,541
CSF3R,0,0,0,0,0
GRIK3,0,0,4,0,0
MIR4255,0,0,0,0,0
LINC01137,0,0,4,0,0
ZC3H12A,1,1,9,1,5
MIR6732,0,0,0,0,0
MEAF6,25,11,691,88,188
MIR5581,0,0,0,0,0
SNIP1,3,0,39,7,11
DNALI1,7,7,188,27,30
GNL2,21,1,343,46,88
RSPO1,0,1,21,0,0
C1orf109,11,1,195,31,47
CDCA8,9,2,270,43,34
EPHA10,0,0,1,0,0
MANEAL,1,0,14,6,3
YRDC,14,2,403,124,150
C1orf122,58,6,945,165,393
MTF1,1,1,50,4,9
INPP5B,0,0,15,3,2
SF3A3,46,7,823,92,204
FHL3,18,1,187,70,166
UTP11,32,4,374,60,151
POU3F1,13,5,33,8,10
MIR3659,0,0,0,0,0
LINC01343,0,0,0,0,0
LINC01685,0,0,0,0,0
RRAGC,14,1,134,33,42
GJA9-MYCBP,0,0,0,0,0
MYCBP,1,0,20,2,5
LOC105378663,0,0,4,1,2
GJA9,0,0,0,0,0
RHBDL2,1,0,1,0,0
AKIRIN1,56,4,1008,236,328
NDUFS5,275,65,2740,557,1558
MACF1,46,7,715,92,111
KIAA0754,2,2,88,20,31
BMP8A,0,0,0,0,0
OXCT2P1,0,0,0,0,0
PPIEL,3,0,1,1,3
PABPC4,35,5,639,90,175
PABPC4-AS1,0,0,0,0,0
SNORA55,0,0,0,0,0
HEYL,0,0,3,0,1
NT5C1A,0,0,0,0,0
HPCAL4,0,0,2,2,0
PPIE,17,3,303,42,114
BMP8B,0,0,2,1,2
OXCT2,0,0,0,0,0
LOC101929536,0,0,0,0,0
TRIT1,12,2,181,19,37
MYCL,1,0,59,6,17
MFSD2A,2,0,59,11,12
CAP1,81,10,841,237,481
PPT1,29,8,485,69,134
RLF,5,2,143,10,40
TMCO2,0,0,0,0,0
ZMPSTE24,6,1,184,37,80
COL9A2,11,2,37,10,54
SMAP2,7,0,94,7,28
ZFP69B,2,1,47,2,4
ZFP69,3,0,21,1,1
EXO5,1,0,30,3,6
ZNF684,0,0,22,0,3
RIMS3,2,3,17,2,8
NFYC-AS1,2,0,47,4,7
NFYC,16,3,191,16,66
MIR30E,0,0,0,0,0
MIR30C1,0,0,0,0,0
KCNQ4,0,0,2,0,0
CITED4,4,0,151,35,22
CTPS1,25,7,416,40,114
SLFNL1-AS1,0,0,0,1,0
SLFNL1,0,0,0,0,0
SCMH1,0,1,44,4,3
FOXO6,0,1,4,0,1
FOXO6-AS1,0,0,0,0,0
EDN2,1,0,0,0,0
HIVEP3,2,0,12,7,1
GUCA2B,0,0,0,0,0
GUCA2A,0,0,0,0,1
FOXJ3,3,3,38,13,32
RIMKLA,1,3,7,2,9
ZMYND12,0,0,2,0,0
CCDC30,1,0,19,1,1
PPCS,13,4,181,33,98
PPIH,31,5,554,84,199
YBX1,888,185,16293,1946,3769
CLDN19,0,0,0,0,5
P3H1,8,1,169,12,58
C1orf50,15,3,203,18,72
TMEM269-DT,0,0,0,0,0
TMEM269,0,0,1,0,0
SVBP,21,11,562,69,192
ERMAP,1,0,6,0,4
ZNF691,4,3,64,4,19
LOC339539,0,0,0,0,0
SLC2A1,30,16,405,63,317
SLC2A1-AS1,0,0,9,0,2
FAM183A,0,0,7,0,1
EBNA1BP2,52,5,964,179,304
MIR6733,0,0,0,0,0
CFAP57,1,0,3,0,0
TMEM125,0,0,0,2,12
C1orf210,0,0,0,0,4
TIE1,0,0,0,0,0
MPL,0,1,0,0,1
CDC20,36,11,766,93,248
ELOVL1,15,0,162,42,84
MIR6734,0,0,0,0,0
MED8,14,1,368,44,47
SZT2,0,0,14,2,7
SZT2-AS1,0,0,0,0,1
MIR6735,0,0,0,0,0
HYI,5,1,217,29,53
PTPRF,15,1,146,45,59
KDM4A,9,2,121,14,36
KDM4A-AS1,2,1,10,0,2
ST3GAL3,2,0,26,3,6
LOC101929592,0,0,0,0,0
MIR6079,0,0,0,0,0
ARTN,0,0,2,1,7
IPO13,4,0,38,7,16
DPH2,7,1,182,22,40
ATP6V0B,124,19,1861,385,701
B4GALT2,19,2,234,33,79
CCDC24,0,0,23,1,8
SLC6A9,2,2,26,11,8
KLF17,0,0,0,0,0
KLF18,0,0,0,0,0
DMAP1,13,3,200,29,73
ERI3,50,9,840,79,207
ERI3-IT1,0,0,1,0,0
SNORA110,0,0,0,0,0
RNF220,4,2,52,8,22
MIR5584,0,0,0,0,0
TMEM53,2,0,65,3,30
SNORD145,0,0,0,0,0
ARMH1,0,0,2,0,0
RNU5F-1,0,0,0,0,0
RNU5D-1,0,0,0,0,0
KIF2C,11,1,216,38,39
SNORD160,0,0,0,0,0
RPS8,1170,346,13727,2527,7364
SNORD55,0,0,0,0,0
SNORD46,0,0,0,0,0
SNORD38A,0,0,0,0,0
SNORD38B,0,0,0,0,0
BEST4,0,0,4,1,2
PLK3,4,0,40,16,9
TCTEX1D4,0,0,1,0,0
BTBD19,0,0,0,0,0
PTCH2,0,0,4,0,2
EIF2B3,12,3,179,22,75
HECTD3,1,0,24,4,13
UROD,26,2,238,44,209
ZSWIM5,0,0,7,0,9
LINC01144,0,1,1,0,0
HPDL,1,1,4,2,141
MUTYH,7,2,168,13,34
TOE1,13,0,188,11,49
TESK2,0,0,8,1,8
CCDC163,0,0,9,0,10
MMACHC,0,0,12,0,2
PRDX1,671,141,9690,1235,7440
