H1.1,H6.1
RNU6-2,0,0
RNU6-7,0,0
RNU6-8,0,0
RNU6-9,0,0
PGD,1,7
CENPS,0,0
CENPS-CORT,0,0
CORT,0,0
DFFA,0,3
PEX14,1,3
CASZ1,0,0
C1orf127,0,0
TARDBP,0,3
MASP2,0,0
SRM,4,46
EXOSC10,0,0
EXOSC10-AS1,0,0
MTOR,1,4
MTOR-AS1,0,0
ANGPTL7,0,0
UBIAD1,0,2
DISP3,0,0
LINC01647,0,0
FBXO2,0,8
FBXO44,1,0
FBXO6,0,2
MAD2L2,0,3
DRAXIN,0,0
AGTRAP,0,26
C1orf167,0,0
C1orf167-AS1,0,0
MTHFR,0,1
CLCN6,1,0
NPPA-AS1,0,0
NPPA,0,0
NPPB,0,0
RNU5E-1,0,0
KIAA2013,0,7
PLOD1,0,13
MFN2,0,3
MIIP,0,1
MIR6729,0,0
TNFRSF8,0,0
MIR7846,0,0
TNFRSF1B,0,0
MIR4632,0,0
VPS13D,0,2
SNORA59A,0,0
SNORA59B,0,0
DHRS3,0,3
MIR6730,0,0
AADACL4,0,0
AADACL3,0,0
C1orf158,0,0
PRAMEF12,0,0
PRAMEF1,0,0
LINC01784,0,0
PRAMEF11,0,0
HNRNPCL1,0,0
PRAMEF2,0,0
PRAMEF4,0,0
PRAMEF10,0,0
PRAMEF7,0,0
PRAMEF6,0,0
PRAMEF27,0,0
HNRNPCL3,0,0
HNRNPCL4,0,0
PRAMEF25,0,0
PRAMEF26,0,0
PRAMEF34P,0,0
PRAMEF36P,0,0
HNRNPCL2,0,0
PRAMEF9,0,0
PRAMEF13,0,0
PRAMEF18,0,0
PRAMEF22,0,0
PRAMEF5,0,0
PRAMEF8,0,0
PRAMEF33,0,0
PRAMEF15,0,0
PRAMEF14,0,0
PRAMEF19,0,0
PRAMEF17,0,0
PRAMEF20,0,0
LRRC38,0,0
PDPN,0,15
PRDM2,0,0
KAZN-AS1,0,0
KAZN,0,2
TMEM51-AS1,0,0
TMEM51,0,2
C1orf195,0,0
FHAD1,0,0
FHAD1-AS1,0,0
EFHD2,0,1
CTRC,0,0
CELA2A,0,0
CELA2B,0,0
CASP9,0,1
DNAJC16,0,3
SCARNA21B,0,0
AGMAT,0,0
DDI2,0,1
RSC1A1,0,0
PLEKHM2,1,7
SLC25A34,0,0
SLC25A34-AS1,0,0
TMEM82,0,0
FBLIM1,1,13
UQCRHL,0,1
FLJ37453,0,1
SPEN,1,1
ZBTB17,0,2
SRARP,0,0
HSPB7,0,0
CLCNKA,0,0
CLCNKB,0,0
FAM131C,0,0
EPHA2,1,11
ARHGEF19,0,0
CPLANE2,0,1
FBXO42,0,2
SZRD1,0,6
SPATA21,0,0
NECAP2,0,3
LINC01772,0,0
CROCCP3,0,0
RNU1-1,0,0
RNU1-2,0,0
RNU1-3,0,0
RNU1-4,0,0
RNVU1-18,0,0
LINC01783,0,0
MIR3675,0,0
NBPF1,1,0
CROCCP2,0,0
MST1P2,0,0
ESPNP,0,0
MST1L,0,0
LOC112267871,0,0
LOC105376805,0,7
CROCC,0,0
MFAP2,1,53
ATP13A2,0,3
SDHB,0,6
PADI2,0,0
LINC02783,0,0
PADI1,0,0
PADI3,0,0
MIR3972,0,0
PADI4,0,0
PADI6,0,0
RCC2,1,1
ARHGEF10L,0,0
ACTL8,0,0
LINC01654,0,0
IGSF21,0,0
KLHDC7A,0,0
PAX7,0,0
TAS1R2,0,0
ALDH4A1,0,2
MIR4695,0,0
MIR1290,0,0
IFFO2,0,1
UBR4,0,4
EMC1-AS1,0,0
EMC1,0,6
MRTO4,1,6
AKR7L,0,0
AKR7A3,0,0
LOC100506730,0,0
AKR7A2,1,19
SLC66A1,0,1
CAPZB,3,47
LOC105378614,0,0
MICOS10,2,69
MICOS10-NBL1,0,0
RPS14P3,0,1
NBL1,0,0
HTR6,0,0
TMCO4,0,0
RNF186,0,0
OTUD3,0,0
PLA2G2E,0,0
PLA2G2A,0,0
PLA2G5,0,0
PLA2G2D,0,0
PLA2G2F,0,0
PLA2G2C,0,0
UBXN10-AS1,0,0
UBXN10,0,0
LINC01757,0,0
VWA5B1,0,0
LINC01141,0,0
CAMK2N1,2,15
MUL1,0,3
FAM43B,0,0
CDA,0,0
PINK1,1,9
MIR6084,0,0
PINK1-AS,0,1
DDOST,2,32
KIF17,0,0
SH2D5,0,0
HP1BP3,0,14
EIF4G3,0,4
MIR1256,0,0
ECE1,0,2
ECE1-AS1,0,0
NBPF3,0,0
ALPL,0,3
RAP1GAP,0,0
USP48,0,3
LDLRAD2,0,0
HSPG2,0,20
CELA3B,0,0
CELA3A,0,0
LINC01635,0,0
LINC00339,0,1
CDC42,3,91
WNT4,0,3
MIR4418,0,0
ZBTB40,0,0
EPHA8,0,0
MIR6127,0,0
C1QA,0,0
C1QC,0,0
C1QB,0,0
EPHB2,0,3
MIR4684,0,0
MIR4253,0,0
LACTBL1,0,0
TEX46,0,0
KDM1A,0,2
MIR3115,0,0
LUZP1,0,9
HTR1D,0,0
LINC01355,0,2
HNRNPR,3,24
ZNF436,0,0
ZNF436-AS1,0,0
TCEA3,0,2
ASAP3,0,0
E2F2,0,0
LOC101928163,0,0
ID3,1,162
MDS2,0,0
RPL11,17,399
ELOA,0,1
ELOA-AS1,0,0
PITHD1,0,3
LYPLA2,0,3
GALE,0,2
HMGCL,0,4
FUCA1,0,4
CNR2,0,0
MIR378F,0,0
PNRC2,0,7
SRSF10,1,8
MYOM3,0,0
IL22RA1,0,0
IFNLR1,0,0
LINC02800,0,0
GRHL3,0,0
STPG1,0,0
NIPAL3,0,6
RCAN3AS,0,0
RCAN3,0,1
NCMAP-DT,0,0
NCMAP,0,0
SRRM1,0,11
CLIC4,0,46
RUNX3,0,0
MIR6731,0,0
MIR4425,0,0
SYF2,0,11
RSRP1,0,5
RHD,0,0
TMEM50A,7,52
RHCE,0,0
MACO1,0,1
LDLRAP1,0,0
MAN1C1,0,0
SELENON,1,6
MTFR1L,0,4
LOC646471,0,0
AUNIP,0,0
PAQR7,0,2
STMN1,0,40
MIR3917,0,0
PAFAH2,0,2
EXTL1,0,4
SLC30A2,0,0
TRIM63,0,0
PDIK1L,0,0
FAM110D,0,0
C1orf232,0,0
ZNF593,1,25
CNKSR1,0,0
CATSPER4,0,0
ZPLD2P,0,0
CEP85,0,0
SH3BGRL3,9,285
UBXN11,0,0
CD52,0,0
CRYBG2,0,0
ZNF683,0,0
LIN28A,0,0
DHDDS,0,4
DHDDS-AS1,0,0
HMGN2,6,40
RPS6KA1,0,1
MIR1976,0,0
LOC101928728,0,0
ARID1A,0,6
PIGV,0,1
ZDHHC18,0,0
SFN,0,0
GPN2,0,3
GPATCH3,0,1
NR0B2,0,0
NUDC,2,15
KDF1,0,1
TRNP1,1,8
TENT5B,0,2
SLC9A1,0,6
WDTC1,0,5
TMEM222,0,4
ACTG1P20,0,0
SYTL1,0,0
MAP3K6,0,1
FCN3,0,0
CD164L2,0,0
GPR3,0,0
WASF2,0,8
AHDC1,0,1
FGR,0,0
LINC02574,0,0
IFI6,0,2
FAM76A,0,2
STX12,1,7
PPP1R8,0,0
SCARNA1,0,0
THEMIS2,0,0
RPA2,0,11
SMPDL3B,0,0
XKR8,0,0
EYA3,0,1
PTAFR,0,0
DNAJC8,2,28
ATP5IF1,4,101
SESN2,1,5
MED18,0,0
PHACTR4,0,3
RCC1,0,1
SNHG3,0,3
SNORA73A,0,0
SNORA73B,0,0
TRNAU1AP,0,6
SNHG12,0,6
SNORD99,0,0
SNORA61,0,0
SNORA44,0,0
SNORA16A,0,0
RAB42,0,0
TAF12,0,5
LINC01715,0,0
RNU11,0,0
GMEB1,0,0
YTHDF2,0,14
OPRD1,0,0
EPB41,0,0
TMEM200B,0,0
SRSF4,0,3
MECR,0,4
PTPRU,0,1
LINC01756,0,0
LINC01648,0,0
MATN1,0,0
MATN1-AS1,0,0
LAPTM5,0,0
MIR4420,0,0
LINC01778,0,1
SDC3,0,4
PUM1,0,9
SNORD103A,0,0
SNORD103B,0,0
SNORD103C,0,0
NKAIN1,0,0
SNRNP40,0,10
ZCCHC17,1,9
FABP3,0,0
SERINC2,0,14
LDC1P,0,0
LINC01226,0,0
TINAGL1,0,13
HCRTR1,0,0
PEF1,3,10
COL16A1,0,9
ADGRB2,0,0
MIR4254,0,0
SPOCD1,0,5
PTP4A2,1,18
KHDRBS1,2,24
TMEM39B,0,0
MIR5585,0,0
KPNA6,0,8
TXLNA,0,9
CCDC28B,1,5
IQCC,0,0
DCDC2B,0,0
TMEM234,0,3
EIF3I,3,22
MTMR9LP,0,0
FAM167B,0,1
LCK,0,0
HDAC1,0,2
MARCKSL1,1,24
FAM229A,0,0
TSSK3,0,0
BSDC1,0,7
ZBTB8B,0,0
ZBTB8A,0,5
ZBTB8OS,4,11
RBBP4,0,11
SYNC,1,11
KIAA1522,0,1
YARS1,0,7
S100PBP,0,2
FNDC5,0,0
HPCA,0,0
TMEM54,1,6
RNF19B,0,0
AK2,0,16
AZIN2,0,1
TRIM62,0,2
ZNF362,0,3
A3GALT2,0,0
PHC2,1,5
MIR3605,0,0
PHC2-AS1,0,0
ZSCAN20,0,0
CSMD2,0,0
HMGB4,0,0
CSMD2-AS1,0,0
C1orf94,0,0
MIR552,0,0
GJB5,0,0
GJB4,0,0
GJB3,0,0
GJA4,0,0
SMIM12,0,9
DLGAP3,0,0
LOC653160,0,0
TMEM35B,2,15
ZMYM6,0,2
ZMYM1,0,3
SFPQ,0,19
ZMYM4,0,2
ZMYM4-AS1,0,0
KIAA0319L,0,4
NCDN,0,5
TFAP2E,0,0
PSMB2,6,53
C1orf216,0,2
CLSPN,0,0
AGO4,0,0
AGO1,0,4
AGO3,0,2
TEKT2,0,0
ADPRHL2,0,10
COL8A2,0,22
TRAPPC3,2,25
MAP7D1,1,7
THRAP3,0,7
SH3D21,0,0
EVA1B,4,47
STK40,0,4
LSM10,3,13
OSCP1,0,0
SNORA63C,0,0
MRPS15,3,14
CSF3R,0,0
GRIK3,0,0
MIR4255,0,0
LINC01137,0,1
ZC3H12A,0,0
MIR6732,0,0
MEAF6,0,26
MIR5581,0,0
SNIP1,0,3
DNALI1,0,0
GNL2,0,4
RSPO1,0,0
C1orf109,0,3
CDCA8,0,0
EPHA10,0,0
MANEAL,0,0
YRDC,1,5
C1orf122,7,45
MTF1,0,1
INPP5B,0,0
SF3A3,2,3
FHL3,0,3
UTP11,0,8
POU3F1,0,0
MIR3659,0,0
LINC01343,0,0
LINC01685,0,0
RRAGC,1,5
GJA9-MYCBP,0,0
MYCBP,0,0
LOC105378663,0,2
GJA9,0,0
RHBDL2,0,0
AKIRIN1,1,15
NDUFS5,8,153
MACF1,0,20
KIAA0754,1,1
BMP8A,0,0
OXCT2P1,0,0
PPIEL,0,0
PABPC4,0,5
PABPC4-AS1,0,0
SNORA55,0,0
HEYL,0,0
NT5C1A,0,0
HPCAL4,0,0
PPIE,0,10
BMP8B,0,0
OXCT2,0,0
LOC101929536,0,0
TRIT1,0,0
MYCL,0,0
MFSD2A,0,0
CAP1,2,32
PPT1,0,7
RLF,0,1
TMCO2,0,0
ZMPSTE24,0,9
COL9A2,0,0
SMAP2,1,2
ZFP69B,0,0
ZFP69,0,0
EXO5,0,0
ZNF684,0,0
RIMS3,0,0
NFYC-AS1,0,0
NFYC,1,1
MIR30E,0,0
MIR30C1,0,0
KCNQ4,0,1
CITED4,0,15
CTPS1,0,6
SLFNL1-AS1,0,0
SLFNL1,0,0
SCMH1,0,5
FOXO6,0,0
FOXO6-AS1,0,0
EDN2,0,1
HIVEP3,0,0
GUCA2B,0,0
GUCA2A,0,0
FOXJ3,0,4
RIMKLA,0,0
ZMYND12,0,0
CCDC30,0,0
PPCS,0,13
PPIH,1,9
YBX1,15,138
CLDN19,0,0
P3H1,0,19
C1orf50,1,1
TMEM269-DT,0,0
TMEM269,0,0
SVBP,0,9
ERMAP,0,2
ZNF691,0,1
LOC339539,0,0
SLC2A1,1,4
SLC2A1-AS1,0,0
FAM183A,0,0
EBNA1BP2,2,11
MIR6733,0,0
CFAP57,0,0
TMEM125,0,0
C1orf210,0,0
TIE1,0,0
MPL,0,0
CDC20,0,0
ELOVL1,1,2
MIR6734,0,0
MED8,1,10
SZT2,0,0
SZT2-AS1,0,0
MIR6735,0,0
HYI,4,5
PTPRF,0,4
KDM4A,0,4
KDM4A-AS1,0,0
ST3GAL3,0,3
LOC101929592,0,0
MIR6079,0,0
ARTN,0,0
IPO13,0,1
DPH2,0,0
ATP6V0B,6,69
B4GALT2,0,7
CCDC24,1,2
SLC6A9,0,0
KLF17,0,0
KLF18,0,0
DMAP1,0,5
ERI3,0,8
ERI3-IT1,0,0
SNORA110,0,0
RNF220,0,3
MIR5584,0,0
TMEM53,1,0
SNORD145,0,0
ARMH1,0,0
RNU5F-1,0,0
RNU5D-1,0,0
KIF2C,0,0
SNORD160,0,0
RPS8,20,334
SNORD55,0,0
SNORD46,0,0
SNORD38A,0,0
SNORD38B,0,0
BEST4,0,0
PLK3,0,12
TCTEX1D4,0,0
BTBD19,0,0
PTCH2,0,0
EIF2B3,0,1
HECTD3,0,0
UROD,0,14
ZSWIM5,0,0
LINC01144,0,0
HPDL,0,0
MUTYH,0,0
TOE1,0,0
TESK2,0,0
CCDC163,0,0
MMACHC,0,0
PRDX1,6,246
AKR1A1,1,20
NASP,0,1
CCDC17,0,0
GPBP1L1,0,8
RPS15AP10,0,0
TMEM69,0,3
IPP,0,0
MAST2,0,0
LOC110117498-PIK3R3,0,0
PIK3R3,0,0
LOC101929626,0,0
TSPAN1,0,0
P3R3URF,0,0
POMGNT1,1,4
LURAP1,0,0
RAD54L,0,0
LRRC41,0,6
UQCRH,2,92
NSUN4,0,3
FAAH,0,0
FAAHP1,0,0
LINC01398,0,0
DMBX1,0,0
TMEM275,0,0
MKNK1-AS1,0,0
KNCN,0,0
MKNK1,0,2
MOB3C,0,0
ATPAF1,1,3
TEX38,0,0
EFCAB14-AS1,0,0
EFCAB14,0,1
CYP4B1,0,0
CYP4Z2P,0,0
CYP4A11,0,0
CYP4X1,0,0
CYP4Z1,0,0
CYP4A22,0,0
LINC00853,0,0
PDZK1IP1,0,0
TAL1,1,0
STIL,0,0
CMPK1,0,27
LINC01389,0,0
FOXE3,0,0
FOXD2-AS1,0,0
FOXD2,0,0
TRABD2B,0,0
SKINT1L,0,0
SLC5A9,0,0
SPATA6,0,0
AGBL4,0,0
BEND5,0,0
AGBL4-AS1,0,0
AGBL4-IT1,0,0
ELAVL4,0,0
DMRTA2,0,0
FAF1,0,3
CDKN2C,0,1
MIR4421,0,0
MIR6500,0,0
C1orf185,0,0
LINC01562,0,0
RNF11,4,17
TTC39A,0,0
TTC39A-AS1,0,0
EPS15,0,2
CALR4P,0,0
OSBPL9,0,8
NRDC,0,3
MIR761,0,0
RAB3B,0,11
TXNDC12,0,12
KTI12,0,0
TXNDC12-AS1,0,0
BTF3L4,1,28
ZFYVE9,0,0
CC2D1B,0,1
ORC1,0,0
PRPF38A,0,5
TUT4,0,5
GPX7,0,4
SHISAL2A,0,0
COA7,0,1
ZYG11B,0,4
ZYG11A,0,0
ECHDC2,0,6
SCP2,1,38
PODN,0,0
SLC1A7,0,0
CPT2,0,2
CZIB,0,6
MAGOH,0,15
LOC100507564,0,0
LRP8,0,0
LINC01771,0,0
SLC25A3P1,0,0
DMRTB1,0,0
GLIS1,0,2
NDC1,0,0
YIPF1,0,3
DIO1,0,0
HSPB11,0,8
LRRC42,2,5
LDLRAD1,0,0
TMEM59,6,136
TCEANC2,0,1
MIR4781,0,0
CDCP2,0,0
CYB5RL,0,2
MRPL37,0,11
SSBP3,0,5
SSBP3-AS1,0,0
ACOT11,0,0
FAM151A,0,0
MROH7,0,0
MROH7-TTC4,0,0
TTC4,0,0
PARS2,0,1
TTC22,0,0
LEXM,0,0
DHCR24,0,7
TMEM61,0,0
BSND,0,0
PCSK9,0,0
USP24,0,3
LOC100507634,0,0
MIR4422HG,0,0
MIR4422,0,0
LINC01753,0,0
LINC01755,0,0
LINC01767,0,0
PLPP3,0,3
LOC101929935,0,0
PRKAA2,0,0
FYB2,0,0
C8A,0,0
C8B,0,0
DAB1,0,0
DAB1-AS1,0,0
OMA1,0,4
TACSTD2,0,0
MYSM1,0,1
JUN,3,21
LINC01135,0,0
LINC01358,0,0
HSD52,0,0
FGGY,0,0
MIR4711,0,0
LOC101926944,0,0
HOOK1,0,0
CYP2J2,0,0
C1orf87,0,0
LINC01748,0,0
LOC101926964,0,0
NFIA-AS2,0,0
NFIA,0,4
NFIA-AS1,0,0
MGC34796,0,0
TM2D1,2,22
PATJ,0,0
MIR12132,0,0
MIR3116-1,0,0
MIR3116-2,0,0
L1TD1,0,0
KANK4,0,0
USP1,1,2
DOCK7,0,2
ANGPTL3,0,0
ATG4C,1,1
LINC01739,0,0
LINC00466,0,0
FOXD3-AS1,0,0
FOXD3,0,0
MIR6068,0,0
ALG6,0,0
ITGB3BP,0,3
EFCAB7,0,0
DLEU2L,0,0
PGM1,1,11
ROR1,0,8
ROR1-AS1,0,0
UBE2U,0,0
CACHD1,0,3
MIR4794,0,0
RAVER2,0,0
JAK1,1,20
LINC01359,0,0
MIR3671,0,0
MIR101-1,0,0
AK4,0,1
DNAJC6,0,0
LEPR,0,0
LEPROT,3,24
PDE4B,0,0
PDE4B-AS1,0,0
SGIP1,0,0
MIR3117,0,0
TCTEX1D1,0,0
INSL5,0,0
WDR78,0,1
MIER1,0,10
SLC35D1,0,3
C1orf141,0,0
IL23R,0,0
IL12RB2,0,0
SERBP1,6,21
GADD45A,3,57
GNG12,0,19
GNG12-AS1,0,0
DIRAS3,0,0
WLS,0,14
MIR1262,0,0
RPE65,0,0
DEPDC1,0,0
DEPDC1-AS1,0,0
LINC01707,0,0
LINC01758,0,0
LRRC7,0,0
PIN1P1,0,0
LRRC40,0,2
SRSF11,0,36
ANKRD13C,0,3
HHLA3,1,2
CTH,0,0
LINC01788,0,0
PTGER3,0,0
ZRANB2-AS1,0,0
ZRANB2,0,10
MIR186,0,0
ZRANB2-AS2,0,1
NEGR1,0,2
NEGR1-IT1,0,0
LINC01360,0,0
LINC02238,0,0
LRRIQ3,0,0
FPGT,0,4
FPGT-TNNI3K,0,0
TNNI3K,0,0
LRRC53,0,0
ERICH3,0,0
ERICH3-AS1,0,0
CRYZ,1,10
TYW3,0,3
LHX8,0,0
SLC44A5,0,0
ACADM,0,3
DLSTP1,0,0
RABGGTB,0,19
SNORD45C,0,0
SNORD45A,0,0
SNORD45B,0,0
MSH4,0,0
ASB17,0,0
LOC101927342,0,0
ST6GALNAC3,0,0
LINC02567,0,0
ST6GALNAC5,1,8
MIR7156,0,0
PIGK,0,5
AK5,0,0
ZZZ3,0,1
USP33,0,4
MIGA1,0,3
NEXN-AS1,0,1
NEXN,1,47
FUBP1,0,3
DNAJB4,1,52
GIPC2,0,1
MGC27382,0,0
PTGFR,0,0
IFI44L,0,1
IFI44,0,0
ADGRL4,0,3
LINC01781,0,0
ADGRL2,0,4
LOC101927434,0,0
LINC01362,0,0
LINC01361,0,0
LINC01712,0,0
LINC01725,0,0
LOC101927560,0,0
TTLL7,0,0
PRKACB,0,7
SAMD13,0,0
UOX,0,0
DNASE2B,0,0
RPF1,0,6
GNG5,10,154
SPATA1,0,0
CTBS,1,4
LINC01461,0,0
LINC01555,0,0
SSX2IP,0,2
LPAR3,0,0
MCOLN2,0,0
MCOLN3,0,0
WDR63,0,0
MIR4423,0,0
SYDE2,0,0
C1orf52,2,16
BCL10,2,5
LOC646626,0,0
DDAH1,1,37
CCN1,3,75
ZNHIT6,1,3
COL24A1,0,0
ODF2L,0,5
MIR7856,0,0
CLCA2,0,0
CLCA1,0,0
CLCA4,0,0
CLCA4-AS1,0,0
CLCA3P,0,0
SH3GLB1,5,23
SELENOF,2,37
HS2ST1,1,4
LINC01140,0,0
LINC02801,0,0
LMO4,0,54
LINC01364,0,0
PKN2-AS1,0,0
PKN2,0,6
GTF2B,0,6
KYAT3,0,3
RBMXL1,0,1
GBP3,0,1
GBP1,0,5
GBP2,0,0
GBP7,0,0
GBP4,0,0
GBP5,0,0
LOC729930,0,0
GBP6,0,0
GBP1P1,0,0
LRRC8B,0,0
LRRC8C-DT,0,0
LRRC8C,0,0
LRRC8D,0,4
GEMIN8P4,0,0
ZNF326,0,5
SNORD3G,0,0
BARHL2,0,0
LINC02609,0,0
LINC01763,0,0
ZNF644,0,5
HFM1,0,0
CDC7,0,0
TGFBR3,0,1
BRDT,0,0
EPHX4,0,0
SETSIP,0,0
BTBD8,0,0
KIAA1107,0,0
C1orf146,0,0
GLMN,0,0
RPAP2,1,1
GFI1,0,0
EVI5,0,10
RPL5,11,255
DIPK1A,0,1
SNORD21,0,0
SNORA66,0,0
MTF2,0,2
TMED5,0,9
CCDC18,0,0
CCDC18-AS1,0,0
DR1,3,5
FNBP1L,0,5
BCAR3,0,7
BCAR3-AS1,0,0
MIG7,0,0
MIR760,0,0
DNTTIP2,0,7
GCLM,1,23
ABCA4,0,1
ARHGAP29,0,7
ABCD3,0,5
F3,0,12
MIR12133,0,0
SLC44A3-AS1,0,0
MIR378G,0,0
SLC44A3,0,0
CNN3,3,83
LOC729970,0,0
ALG14,0,4
ALG14-AS1,0,0
TLCD4,0,0
TLCD4-RWDD3,0,0
LOC101928118,0,0
RWDD3,0,4
LINC01760,0,0
LINC01650,0,0
LINC01761,0,0
LINC02607,0,0
LINC02790,0,0
LINC01787,0,0
PTBP2,0,2
DPYD,0,0
DPYD-AS1,0,0
DPYD-AS2,0,0
LINC01930,0,0
MIR137HG,0,0
MIR2682,0,0
MIR137,0,0
LINC01776,0,0
SNX7,0,8
PLPPR5,0,0
LOC100129620,0,0
PLPPR4,0,0
LINC01708,0,0
MIR548N,0,0
PALMD,0,0
FRRS1,0,0
AGL,0,1
SLC35A3,0,4
MFSD14A,1,3
SASS6,0,1
TRMT13,0,0
LRRC39,0,0
DBT,0,0
RTCA-AS1,0,0
RTCA,3,12
MIR553,0,0
CDC14A,0,0
GPR88,0,0
LINC01349,0,0
VCAM1,0,1
EXTL2,0,11
SLC30A7,0,9
DPH5,0,3
LOC102606465,0,5
LOC101928370,0,0
S1PR1,0,0
LINC01307,0,0
OLFM3,0,0
DNAJA1P5,0,0
COL11A1,1,60
LOC101928436,0,0
RNPC3,0,0
AMY2B,0,0
ACTG1P4,0,0
AMY2A,0,0
AMY1C,0,0
AMY1A,0,0
AMY1B,0,0
LOC100129138,0,0
LINC01676,0,0
LINC01677,0,0
LINC01661,0,0
PRMT6,0,3
NTNG1,0,0
VAV3,0,0
MIR7852,0,0
VAV3-AS1,0,0
SLC25A24,0,9
NBPF4,0,0
NBPF6,0,0
FAM102B,0,0
HENMT1,0,1
PRPF38B,0,3
FNDC7,0,0
STXBP3,0,3
AKNAD1,0,0
SPATA42,0,0
GPSM2,0,0
CLCC1,0,1
WDR47,0,3
TAF13,0,0
TMEM167B,0,2
SCARNA2,0,0
C1orf194,0,0
KIAA1324,0,1
SARS1,2,17
CELSR2,0,0
PSRC1,0,0
MYBPHL,0,1
SORT1,0,12
PSMA5,1,25
SYPL2,0,0
ATXN7L2,0,0
CYB561D1,0,1
AMIGO1,0,0
GPR61,0,0
GNAI3,0,18
MIR197,0,0
GNAT2,0,0
AMPD2,0,3
GSTM4,0,2
GSTM2,0,0
GSTM1,0,0
GSTM5,0,0
GSTM3,2,18
EPS8L3,0,0
CSF1,0,7
AHCYL1,1,31
STRIP1,0,4
ALX3,0,0
LINC01397,0,0
UBL4B,0,0
SLC6A17,0,0
