H1.1,H2.1,H3.1,H4.1,H5.1,H6.1
SLC25A33,109,45,78,15,258,69
TMEM201,13,4,4,1,30,12
PIK3CD,16,10,6,8,50,25
PIK3CD-AS1,0,0,0,0,0,0
PIK3CD-AS2,34,11,5,0,30,29
CLSTN1,190,88,33,24,634,243
CTNNBIP1,150,65,37,18,359,158
LZIC,177,75,59,17,312,129
NMNAT1,42,32,12,7,99,35
TMEM274P,0,0,0,0,0,0
MIR5697,0,0,0,0,0,0
RBP7,0,0,6,1,1,1
UBE4B,52,36,12,6,165,49
KIF1B,177,53,58,16,226,92
RNU6-1,0,0,0,0,0,0
RNU6-2,0,0,0,0,0,0
RNU6-7,0,0,0,0,0,0
RNU6-8,0,0,0,0,0,0
RNU6-9,0,0,0,0,0,0
PGD,89,138,34,18,1191,182
CENPS,43,24,21,2,90,30
CENPS-CORT,0,1,0,1,6,4
CORT,0,0,1,0,2,0
DFFA,145,89,43,10,234,93
PEX14,43,17,33,8,107,39
CASZ1,17,0,5,0,4,3
C1orf127,2,0,0,0,0,0
TARDBP,125,48,31,8,308,81
MASP2,0,0,0,0,1,0
SRM,989,469,242,114,2625,715
EXOSC10,55,22,22,8,103,32
EXOSC10-AS1,8,3,7,1,21,6
MTOR,84,31,21,9,134,36
MTOR-AS1,0,0,0,0,0,0
ANGPTL7,0,0,0,0,0,0
UBIAD1,43,23,24,7,70,24
DISP3,0,0,0,0,1,0
LINC01647,0,0,0,0,0,0
FBXO2,56,26,57,6,140,263
FBXO44,47,5,26,8,100,59
FBXO6,41,5,17,8,60,27
MAD2L2,58,62,46,7,138,56
DRAXIN,0,1,4,0,0,0
AGTRAP,129,117,83,22,660,319
C1orf167,1,0,0,0,2,0
C1orf167-AS1,0,0,0,0,0,0
MTHFR,32,13,14,0,68,41
CLCN6,25,4,10,0,70,22
NPPA-AS1,0,0,0,0,0,0
NPPA,0,0,0,0,0,0
NPPB,1,0,158,0,15,9
RNU5E-1,0,0,0,0,0,0
KIAA2013,139,69,44,19,360,118
PLOD1,223,104,24,32,762,347
MFN2,95,26,26,10,225,72
MIIP,71,25,29,5,323,39
MIR6729,0,0,0,0,0,0
TNFRSF8,0,0,0,0,7,0
MIR7846,0,0,0,0,0,0
TNFRSF1B,0,0,0,0,0,0
MIR4632,0,0,0,0,0,0
VPS13D,40,17,6,4,123,39
SNORA59A,0,0,0,0,0,0
SNORA59B,0,0,0,0,0,0
DHRS3,40,21,6,1,1381,91
MIR6730,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
C1orf158,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0
LINC01784,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0
HNRNPCL1,0,0,0,0,0,0
PRAMEF2,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,0,0
HNRNPCL4,0,0,0,0,0,0
PRAMEF25,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0
PRAMEF34P,0,0,0,0,0,0
PRAMEF36P,0,0,0,0,0,0
HNRNPCL2,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0
PRAMEF22,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0
PRAMEF33,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0
LRRC38,0,0,0,0,98,0
PDPN,12,49,1,0,5253,27
PRDM2,88,34,20,5,220,71
KAZN-AS1,0,0,0,0,0,0
KAZN,165,23,50,4,88,40
TMEM51-AS1,0,0,0,0,4,1
TMEM51,2,7,2,2,185,24
C1orf195,0,0,0,0,0,0
FHAD1,0,4,0,0,0,0
FHAD1-AS1,0,0,0,0,0,0
EFHD2,30,50,11,13,206,86
CTRC,0,0,0,0,0,0
CELA2A,0,0,0,0,1,0
CELA2B,0,0,0,0,0,0
CASP9,35,10,21,2,62,11
DNAJC16,41,25,12,7,159,53
SCARNA21B,0,0,0,0,0,0
AGMAT,9,1,1,1,12,1
DDI2,25,13,13,2,79,39
RSC1A1,0,0,0,0,0,0
PLEKHM2,142,76,68,15,313,106
SLC25A34,1,2,0,0,8,3
SLC25A34-AS1,10,0,1,0,0,1
TMEM82,0,0,0,0,0,0
FBLIM1,752,179,228,30,460,277
UQCRHL,6,6,4,1,20,7
FLJ37453,35,7,19,0,33,16
SPEN,116,54,47,13,217,59
ZBTB17,49,23,11,4,90,30
SRARP,0,0,0,0,0,0
HSPB7,252,0,68,29,33,2
CLCNKA,1,0,0,0,1,0
CLCNKB,1,0,2,0,0,0
FAM131C,0,2,3,3,2,1
EPHA2,185,57,30,22,492,175
ARHGEF19,24,5,8,3,57,14
CPLANE2,2,4,1,0,5,7
FBXO42,52,23,20,7,79,40
SZRD1,202,93,46,23,403,174
SPATA21,1,1,0,0,0,1
NECAP2,211,78,80,17,321,168
LINC01772,3,0,1,0,2,7
CROCCP3,3,8,0,0,9,5
RNU1-1,0,0,0,0,0,0
RNU1-2,0,0,0,0,0,0
RNU1-3,0,0,0,0,0,0
RNU1-4,0,0,0,0,0,0
RNVU1-18,0,0,0,0,0,0
LINC01783,0,0,0,0,0,0
MIR3675,0,0,0,0,0,0
NBPF1,54,18,10,2,117,40
CROCCP2,22,11,26,2,44,25
MST1P2,0,1,0,2,12,1
ESPNP,0,0,0,0,0,0
MST1L,1,0,0,1,3,0
LOC112267871,0,0,0,0,0,0
LOC105376805,114,0,14,5,237,56
CROCC,40,19,6,4,70,45
MFAP2,185,272,20,37,805,686
ATP13A2,50,25,17,5,141,82
SDHB,173,108,98,14,500,187
PADI2,1,0,0,0,0,1
LINC02783,0,1,2,0,9,3
PADI1,6,1,0,0,2,1
PADI3,0,0,0,0,0,1
MIR3972,0,0,0,0,0,0
PADI4,0,0,0,0,1,0
PADI6,0,0,0,0,0,0
RCC2,170,69,36,18,313,173
ARHGEF10L,61,14,25,12,40,30
ACTL8,0,0,0,0,0,0
LINC01654,0,0,0,0,0,0
IGSF21,0,0,0,0,0,0
KLHDC7A,0,0,0,0,0,0
PAX7,0,0,0,0,0,0
TAS1R2,0,0,0,0,0,0
ALDH4A1,16,8,5,3,45,10
MIR4695,0,0,0,0,0,0
MIR1290,0,0,0,0,0,0
IFFO2,32,5,5,10,16,15
UBR4,243,70,66,33,490,152
EMC1-AS1,23,10,8,0,40,25
EMC1,106,31,14,6,299,109
MRTO4,108,94,70,13,346,104
AKR7L,4,0,1,0,1,0
AKR7A3,0,0,0,0,3,1
LOC100506730,2,1,0,1,5,4
AKR7A2,326,185,91,30,692,305
SLC66A1,51,28,33,10,112,60
CAPZB,1035,443,276,96,2677,816
LOC105378614,0,0,0,0,0,0
MICOS10,1269,612,350,136,3391,1502
MICOS10-NBL1,0,0,0,0,0,0
RPS14P3,24,21,5,4,69,65
NBL1,3,0,0,0,4,0
HTR6,0,0,0,0,1,0
TMCO4,36,10,15,0,21,17
RNF186,0,0,0,0,0,0
OTUD3,17,4,30,1,65,38
PLA2G2E,0,0,0,0,0,0
PLA2G2A,0,0,0,0,1,0
PLA2G5,0,0,0,0,1,0
PLA2G2D,0,0,0,0,0,0
PLA2G2F,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,0
UBXN10-AS1,0,0,0,0,6,0
UBXN10,0,0,0,0,2,1
LINC01757,0,0,0,0,0,0
VWA5B1,0,0,0,0,0,0
LINC01141,0,0,0,0,0,0
CAMK2N1,282,124,108,86,765,334
MUL1,102,25,33,9,195,64
FAM43B,2,0,0,0,4,44
CDA,3,1,0,1,1,29
PINK1,145,91,54,21,405,163
MIR6084,0,0,0,0,0,0
PINK1-AS,3,0,0,0,6,1
DDOST,447,251,151,34,1781,428
KIF17,6,0,5,0,5,2
SH2D5,6,2,6,1,8,4
HP1BP3,378,121,95,29,588,267
EIF4G3,235,80,42,31,466,149
MIR1256,0,0,0,0,0,0
ECE1,113,73,49,22,302,160
ECE1-AS1,0,0,0,0,2,1
NBPF3,5,2,3,0,38,4
ALPL,107,328,10,13,24,134
RAP1GAP,0,0,11,1,5,1
USP48,191,71,74,20,338,106
LDLRAD2,2,0,0,1,7,0
HSPG2,637,180,70,47,1334,404
CELA3B,0,0,0,0,0,0
CELA3A,0,0,0,0,0,0
LINC01635,0,0,0,0,4,1
LINC00339,16,12,10,1,35,37
CDC42,1082,634,395,121,3845,1465
WNT4,2,0,0,0,393,3
MIR4418,0,0,0,0,0,0
ZBTB40,41,14,16,3,85,18
EPHA8,0,0,0,0,1,0
MIR6127,0,0,0,0,0,0
C1QA,0,0,0,0,0,0
C1QC,0,0,0,0,0,0
C1QB,0,0,0,0,0,0
EPHB2,17,47,9,15,258,94
MIR4684,0,0,0,0,0,0
MIR4253,0,0,0,0,0,0
LACTBL1,0,0,0,0,0,0
TEX46,1,0,0,0,0,0
KDM1A,135,72,41,5,195,90
MIR3115,0,0,0,0,0,0
LUZP1,435,118,177,53,775,241
HTR1D,0,0,0,0,1,0
LINC01355,3,3,2,4,21,13
HNRNPR,509,258,124,37,733,317
ZNF436,14,11,6,4,34,9
ZNF436-AS1,9,9,5,1,18,21
TCEA3,146,8,4,3,20,19
ASAP3,9,17,2,2,38,12
E2F2,0,0,0,0,0,0
LOC101928163,0,0,0,0,0,0
ID3,2950,529,825,147,4992,660
MDS2,0,0,0,0,0,0
RPL11,4868,5547,2470,543,16376,8051
ELOA,148,50,62,14,338,96
ELOA-AS1,14,10,3,0,16,11
PITHD1,174,72,111,20,486,150
LYPLA2,119,53,62,14,375,135
GALE,62,46,24,4,170,76
HMGCL,104,56,56,12,223,124
FUCA1,84,33,38,16,216,57
CNR2,0,0,0,0,0,0
MIR378F,0,0,0,0,0,0
PNRC2,149,54,44,8,274,125
SRSF10,450,177,141,44,754,296
MYOM3,1,2,0,0,2,5
IL22RA1,0,0,0,0,0,0
IFNLR1,0,0,0,0,0,0
LINC02800,0,0,0,0,0,0
GRHL3,1,0,1,0,0,2
STPG1,19,6,7,3,29,19
NIPAL3,195,43,27,31,418,116
RCAN3AS,1,0,0,0,1,1
RCAN3,50,20,10,7,40,25
NCMAP-DT,0,0,0,0,0,0
NCMAP,0,0,0,0,0,0
SRRM1,445,147,185,31,692,322
CLIC4,658,383,110,107,1201,990
RUNX3,1,1,1,0,0,1
MIR6731,0,0,0,0,0,0
MIR4425,0,0,0,0,0,0
SYF2,376,157,196,31,741,359
RSRP1,277,85,70,11,404,168
RHD,0,0,0,0,0,0
TMEM50A,737,457,399,109,2136,1050
RHCE,2,2,2,1,14,3
MACO1,97,35,60,17,233,90
LDLRAP1,33,14,12,2,175,19
MAN1C1,2,8,0,2,58,19
SELENON,105,76,14,10,254,225
MTFR1L,143,73,63,19,318,136
LOC646471,2,1,0,0,0,0
AUNIP,0,0,1,0,1,1
PAQR7,25,11,7,3,245,103
STMN1,612,695,398,53,921,491
MIR3917,0,0,0,0,0,0
PAFAH2,31,6,3,3,59,19
EXTL1,13,2,0,38,0,37
SLC30A2,0,1,6,0,0,1
TRIM63,0,0,0,0,0,1
PDIK1L,13,1,2,0,17,16
FAM110D,1,4,0,0,0,1
C1orf232,0,0,0,0,0,0
ZNF593,244,165,116,42,909,380
CNKSR1,0,0,0,0,3,1
CATSPER4,0,0,0,0,0,0
ZPLD2P,3,0,0,0,1,3
CEP85,9,3,6,0,14,3
SH3BGRL3,2756,2276,1520,528,12004,6659
UBXN11,14,16,4,5,53,19
CD52,1,0,0,0,0,0
CRYBG2,0,0,4,0,0,3
ZNF683,0,0,0,0,0,0
LIN28A,0,0,0,0,0,0
DHDDS,57,30,17,11,184,72
DHDDS-AS1,0,0,0,0,0,0
HMGN2,967,684,378,56,1761,648
RPS6KA1,8,4,8,0,5,6
MIR1976,0,0,0,0,0,0
LOC101928728,1,3,0,0,2,2
ARID1A,177,71,48,23,347,131
PIGV,67,22,13,5,104,47
ZDHHC18,20,13,8,7,70,21
SFN,0,0,0,0,0,0
GPN2,49,29,21,8,120,46
GPATCH3,37,10,8,3,61,23
NR0B2,0,0,0,0,0,0
NUDC,433,242,243,57,887,322
KDF1,0,0,0,0,0,0
TRNP1,296,92,78,30,501,91
TENT5B,5,2,0,0,52,3
SLC9A1,59,24,8,6,135,106
WDTC1,38,26,10,7,120,33
TMEM222,122,55,51,11,295,149
ACTG1P20,5,2,4,0,10,5
SYTL1,9,0,0,1,0,8
MAP3K6,25,7,6,2,57,12
FCN3,0,0,0,0,0,0
CD164L2,0,0,0,0,0,0
GPR3,1,0,0,0,4,1
WASF2,491,250,175,38,670,268
AHDC1,63,32,14,10,126,48
FGR,0,0,0,0,0,0
LINC02574,0,0,1,0,0,0
IFI6,80,47,80,13,181,43
FAM76A,33,22,10,4,68,57
STX12,160,75,32,14,335,139
PPP1R8,86,29,28,7,166,82
SCARNA1,0,0,0,0,0,0
THEMIS2,0,7,0,0,1,4
RPA2,122,32,80,12,252,106
SMPDL3B,1,0,0,0,1,0
XKR8,27,10,8,5,63,28
EYA3,36,29,15,4,153,27
PTAFR,0,0,1,0,3,0
DNAJC8,468,217,215,45,777,388
ATP5IF1,1588,534,483,133,2885,1579
SESN2,264,79,64,15,312,189
MED18,19,8,10,1,19,7
PHACTR4,145,49,33,8,157,65
RCC1,32,24,12,2,89,19
SNHG3,75,107,22,2,217,73
SNORA73A,0,0,0,0,0,0
SNORA73B,0,0,0,0,0,0
TRNAU1AP,127,61,47,10,180,92
SNHG12,47,36,137,9,144,75
SNORD99,0,0,0,0,0,0
SNORA61,0,0,0,0,0,0
SNORA44,0,0,0,0,1,0
SNORA16A,0,0,0,0,0,0
RAB42,6,2,2,0,15,1
TAF12,241,119,117,30,623,186
LINC01715,4,5,1,0,12,5
RNU11,0,0,0,0,0,0
GMEB1,43,31,20,8,97,37
YTHDF2,337,163,197,51,703,297
OPRD1,0,0,0,0,0,0
EPB41,43,10,15,1,65,17
TMEM200B,9,6,0,1,15,4
SRSF4,244,129,94,16,373,146
MECR,78,50,28,8,145,70
PTPRU,47,10,13,3,141,46
LINC01756,0,0,0,0,0,0
LINC01648,0,0,0,0,0,0
MATN1,0,0,0,0,2,1
MATN1-AS1,6,1,11,0,12,3
LAPTM5,0,0,0,0,0,0
MIR4420,0,0,0,0,0,0
LINC01778,3,1,2,0,2,2
SDC3,161,79,21,25,109,112
PUM1,245,115,102,23,550,203
SNORD103A,0,0,0,0,0,0
SNORD103B,0,0,0,0,0,0
SNORD103C,0,0,0,0,0,0
NKAIN1,0,0,0,0,1,1
SNRNP40,162,92,102,20,538,195
ZCCHC17,234,92,124,20,407,175
FABP3,80,5,62,11,7,10
SERINC2,147,99,69,168,1400,259
LDC1P,0,0,0,0,0,0
LINC01226,0,0,0,0,0,0
TINAGL1,30,0,12,0,32,106
HCRTR1,0,0,0,0,0,0
PEF1,199,77,97,19,432,148
COL16A1,25,86,2,8,1512,152
ADGRB2,10,5,7,2,147,29
MIR4254,0,0,0,0,0,0
SPOCD1,22,27,6,6,217,124
PTP4A2,729,471,288,73,2540,843
KHDRBS1,278,260,140,15,839,322
TMEM39B,34,29,13,0,51,28
MIR5585,0,0,0,0,0,0
KPNA6,177,76,58,17,494,143
TXLNA,193,71,37,11,393,150
CCDC28B,184,78,29,16,356,122
IQCC,4,2,1,0,13,2
DCDC2B,1,0,0,0,0,0
TMEM234,54,30,26,6,162,67
EIF3I,502,377,231,60,1291,444
MTMR9LP,7,12,0,1,14,16
FAM167B,3,11,1,2,5,3
LCK,0,0,0,0,0,0
HDAC1,97,50,36,12,235,121
MARCKSL1,342,349,382,42,2585,496
FAM229A,43,3,18,4,106,21
TSSK3,0,0,0,0,0,1
BSDC1,137,52,47,14,678,108
ZBTB8B,6,0,0,0,13,2
ZBTB8A,92,27,28,3,158,62
ZBTB8OS,293,86,105,41,742,194
RBBP4,115,65,41,7,482,213
SYNC,380,66,45,23,451,147
KIAA1522,63,12,7,5,41,46
YARS1,233,120,130,28,510,217
S100PBP,67,17,18,4,143,53
FNDC5,2,2,6,0,25,3
HPCA,0,0,0,0,0,0
TMEM54,120,51,44,12,178,96
RNF19B,31,8,11,1,63,28
AK2,210,91,48,17,595,176
AZIN2,3,7,8,3,30,19
TRIM62,21,11,4,4,32,21
ZNF362,77,24,17,2,117,50
A3GALT2,0,0,0,0,0,0
PHC2,168,171,90,19,820,292
MIR3605,0,0,0,0,0,0
PHC2-AS1,0,0,0,0,0,0
ZSCAN20,8,1,4,0,3,5
CSMD2,4,1,0,1,15,10
HMGB4,0,0,0,0,0,0
CSMD2-AS1,0,0,0,0,0,0
C1orf94,0,1,0,0,1,0
MIR552,0,0,0,0,0,0
GJB5,0,0,0,0,0,0
GJB4,0,0,0,0,0,0
GJB3,0,0,0,0,0,0
GJA4,0,0,0,0,0,0
SMIM12,147,88,76,20,377,147
DLGAP3,0,0,0,0,1,0
LOC653160,5,0,1,0,11,4
TMEM35B,314,162,90,27,642,252
ZMYM6,28,12,9,4,62,36
ZMYM1,32,18,17,2,75,23
SFPQ,287,226,122,20,1022,290
ZMYM4,113,45,53,9,249,86
ZMYM4-AS1,0,0,0,0,0,0
KIAA0319L,111,49,32,11,394,112
NCDN,77,30,22,9,182,58
TFAP2E,4,0,0,0,4,0
PSMB2,801,389,369,90,1906,782
C1orf216,82,9,33,5,145,66
CLSPN,3,12,1,0,5,1
AGO4,20,9,4,1,34,18
AGO1,35,8,3,2,143,34
AGO3,95,41,25,5,155,81
TEKT2,0,0,0,0,0,0
ADPRHL2,161,65,103,19,305,219
COL8A2,26,43,1,1,32,183
TRAPPC3,331,253,218,47,872,398
MAP7D1,290,190,111,37,642,278
THRAP3,592,202,273,42,1052,301
SH3D21,2,1,0,0,0,3
EVA1B,984,524,309,107,1100,946
STK40,59,12,22,6,65,32
LSM10,475,159,189,55,836,401
OSCP1,24,13,1,3,19,12
SNORA63C,0,0,0,0,0,0
MRPS15,489,296,210,65,1163,417
CSF3R,0,0,0,0,0,0
GRIK3,0,0,0,0,0,0
MIR4255,0,0,0,0,0,0
LINC01137,51,6,14,4,79,30
ZC3H12A,10,3,3,1,101,29
MIR6732,0,0,0,0,0,0
MEAF6,290,134,118,18,791,373
MIR5581,0,0,0,0,0,0
SNIP1,48,20,22,6,69,33
DNALI1,21,5,2,0,42,0
GNL2,87,42,40,16,175,56
RSPO1,0,0,0,0,0,0
C1orf109,65,21,46,10,137,43
CDCA8,1,10,0,0,4,2
EPHA10,0,0,0,0,1,0
MANEAL,5,2,5,2,2,2
YRDC,136,51,85,28,292,114
C1orf122,1027,476,362,61,2631,1017
MTF1,46,8,6,3,65,20
INPP5B,10,4,1,1,12,11
SF3A3,169,92,77,12,394,112
FHL3,165,40,60,17,179,109
UTP11,166,67,110,18,399,122
POU3F1,8,0,19,3,2,3
MIR3659,0,0,0,0,0,0
LINC01343,0,0,0,0,0,0
LINC01685,0,0,0,0,0,0
RRAGC,255,99,171,35,425,159
GJA9-MYCBP,0,0,0,0,0,0
MYCBP,20,2,2,1,13,10
LOC105378663,2,4,0,0,16,6
GJA9,0,0,0,0,0,0
RHBDL2,0,0,2,0,1,0
AKIRIN1,397,157,196,51,1042,314
NDUFS5,2194,910,727,245,4726,2332
MACF1,579,176,148,52,1397,382
KIAA0754,117,17,31,4,191,27
BMP8A,1,0,1,0,0,0
OXCT2P1,0,0,0,0,0,0
PPIEL,7,0,2,0,37,2
PABPC4,236,247,98,23,668,223
PABPC4-AS1,0,0,0,0,0,0
SNORA55,0,0,0,0,0,0
HEYL,5,0,0,0,0,1
NT5C1A,0,0,0,0,0,0
HPCAL4,1,0,0,0,0,0
PPIE,175,76,72,21,419,149
BMP8B,0,0,0,0,0,0
OXCT2,0,0,0,0,0,0
LOC101929536,0,0,0,0,0,0
TRIT1,21,18,24,6,132,27
MYCL,0,0,7,0,5,3
MFSD2A,8,1,24,2,43,30
CAP1,1191,478,367,125,2196,948
PPT1,139,67,47,17,254,123
RLF,41,25,25,4,82,30
TMCO2,0,0,0,0,0,0
ZMPSTE24,114,71,37,15,297,184
COL9A2,3,5,0,0,1,3
SMAP2,43,19,10,6,72,45
ZFP69B,11,4,4,0,5,8
ZFP69,0,2,0,0,4,0
EXO5,14,6,17,3,14,9
ZNF684,13,4,5,0,15,8
RIMS3,2,6,1,0,1,1
NFYC-AS1,8,10,8,1,14,11
NFYC,101,38,24,3,146,58
MIR30E,0,0,0,0,0,0
MIR30C1,0,0,0,0,0,0
KCNQ4,0,0,0,0,0,0
CITED4,51,53,48,7,42,255
